Seitentitel,URL,Anzahl fehlender Bilder,abgeleitetes Hauptthema,abgeleiteter Seitentyp,empfohlene Bildmotive,Bildposition,empfohlene Bildrolle,Vorschlag 1,Score 1,Begründung 1,Vorschlag 2,Score 2,Begründung 2,Vorschlag 3,Score 3,Begründung 3,Status,Review-Hinweis
Leistungen,https://igienair.de/leistungen/,5,Unsere Leistungen,Leistung,Luftkanäle; Kanalreinigung; Techniker an Kanal; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher,3,Detail/Prozess,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1069337199.jpeg,60,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal); Schlagwort-Treffer: luftkanalreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/Leistungen/Reinigung-desinfektion/20230913_115000.jpg,48,"Ordner-Segment ""reinigung-desinfektion"" passt zu Seitenthema (reinigung); Schlagwort-Treffer: leistungen, reinigung",assets/images/Leistungen/Hygieneinspektionvdi6022/AdobeStock_1846914301.jpeg,40,"Ordner-Segment ""hygieneinspektionvdi6022"" passt zu Seitenthema (norm); Schlagwort-Treffer: leistungen",needs_review,Score unter 75 – redaktionell prüfen.
Leistungen,https://igienair.de/leistungen/,5,Unsere Leistungen,Leistung,Luftkanäle; Kanalreinigung; Techniker an Kanal; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher,4,Anwendung/Kontext,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1080554539.jpeg,60,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal); Schlagwort-Treffer: luftkanalreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/Leistungen/Reinigung-desinfektion/20230913_115000.jpg,48,"Ordner-Segment ""reinigung-desinfektion"" passt zu Seitenthema (reinigung); Schlagwort-Treffer: leistungen, reinigung",assets/images/Leistungen/Hygieneinspektionvdi6022/AdobeStock_1846914301.jpeg,40,"Ordner-Segment ""hygieneinspektionvdi6022"" passt zu Seitenthema (norm); Schlagwort-Treffer: leistungen",needs_review,Score unter 75 – redaktionell prüfen.
Leistungen,https://igienair.de/leistungen/,5,Unsere Leistungen,Leistung,Luftkanäle; Kanalreinigung; Techniker an Kanal; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher,5,Galerie 1,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1250944905.jpeg,60,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal); Schlagwort-Treffer: luftkanalreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/Leistungen/Reinigung-desinfektion/20230913_115000.jpg,48,"Ordner-Segment ""reinigung-desinfektion"" passt zu Seitenthema (reinigung); Schlagwort-Treffer: leistungen, reinigung",assets/images/Leistungen/Hygieneinspektionvdi6022/AdobeStock_1846914301.jpeg,40,"Ordner-Segment ""hygieneinspektionvdi6022"" passt zu Seitenthema (norm); Schlagwort-Treffer: leistungen",needs_review,Score unter 75 – redaktionell prüfen.
Inspektion & Gutachten,https://igienair.de/inspektionundgutachten/,1,Hygieneinspektionen und Gefährdungsbeurteilungen,Leistung,Luftkanäle; Kanalreinigung; Techniker an Kanal; RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion,1,Hero,"assets/images/Anlagen/Luftkanalreinigung/ChatGPT Image 2. Mai 2026, 18_47_49.png",76,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (luftkanal, lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Anlagen-Bildpool für Leistungsseite; Querformat für Hero-Rolle; Ausreichende Breite (1535px); KI-generierter Dateiname – manuell prüfen",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,68,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/Anlagen/Splitgeräte/Gemini_Generated_Image_i5bhmqi5bhmqi5bh.png,68,"Ordner-Segment ""splitgerate"" passt zu Seitenthema (kuehlung); Schlagwort-Treffer: anlagen; Anlagen-Bildpool für Leistungsseite; Querformat für Hero-Rolle; Ausreichende Breite (2664px); KI-generierter Dateiname – manuell prüfen",good_match,
Hygieneispektion VDI 6022,https://igienair.de/hygieneinspektion-vdi-6022/,9,Hygieneinspektion nach VDI 6022,Leistung,RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Team; Zertifikate; Unternehmensgebäude; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,1,Hero,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_883366022.jpeg,76,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: 883366022, anlagen, luftkanalreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,68,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/rlt hygiene/Gemini_Generated_Image_m5eryum5eryum5er.png,56,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene; Querformat für Hero-Rolle; Ausreichende Breite (2528px); KI-generierter Dateiname – manuell prüfen",good_match,Platzhaltertext auf Seite.
Hygieneispektion VDI 6022,https://igienair.de/hygieneinspektion-vdi-6022/,9,Hygieneinspektion nach VDI 6022,Leistung,RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Team; Zertifikate; Unternehmensgebäude; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,2,Content,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1037608377.jpeg,74,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Anlagen-Bildpool für Leistungsseite; Rasterbild für Content",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,74,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung; Anlagen-Bildpool für Leistungsseite; Rasterbild für Content",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,54,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene; Rasterbild für Content",needs_review,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Hygieneispektion VDI 6022,https://igienair.de/hygieneinspektion-vdi-6022/,9,Hygieneinspektion nach VDI 6022,Leistung,RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Team; Zertifikate; Unternehmensgebäude; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,3,Detail/Prozess,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1069337199.jpeg,68,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,68,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",needs_review,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Hygieneispektion VDI 6022,https://igienair.de/hygieneinspektion-vdi-6022/,9,Hygieneinspektion nach VDI 6022,Leistung,RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Team; Zertifikate; Unternehmensgebäude; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,4,Anwendung/Kontext,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1080554539.jpeg,68,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,68,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",needs_review,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Hygieneispektion VDI 6022,https://igienair.de/hygieneinspektion-vdi-6022/,9,Hygieneinspektion nach VDI 6022,Leistung,RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Team; Zertifikate; Unternehmensgebäude; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,5,Galerie 1,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1250944905.jpeg,68,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,68,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",needs_review,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Hygieneispektion VDI 6022,https://igienair.de/hygieneinspektion-vdi-6022/,9,Hygieneinspektion nach VDI 6022,Leistung,RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Team; Zertifikate; Unternehmensgebäude; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,6,Galerie 2,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1284076216.jpeg,68,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,68,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",needs_review,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Hygieneispektion VDI 6022,https://igienair.de/hygieneinspektion-vdi-6022/,9,Hygieneinspektion nach VDI 6022,Leistung,RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Team; Zertifikate; Unternehmensgebäude; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,7,Galerie 3,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1366193958.jpeg,68,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,68,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",needs_review,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Hygieneispektion VDI 6022,https://igienair.de/hygieneinspektion-vdi-6022/,9,Hygieneinspektion nach VDI 6022,Leistung,RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Team; Zertifikate; Unternehmensgebäude; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,8,Galerie 4,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_1458378588.jpeg,68,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,68,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",needs_review,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
Hygieneispektion VDI 6022,https://igienair.de/hygieneinspektion-vdi-6022/,9,Hygieneinspektion nach VDI 6022,Leistung,RLT-Anlage; Lüftungszentrale; Kanäle und Ventile; Reinigungstechniker; Hygieneausrüstung; Vorher/Nachher; Messung; Dokumentation; Inspektion; Team; Zertifikate; Unternehmensgebäude; Arbeitsschutz; Reinigung im Einsatz; Teamarbeit,9,Galerie 5,assets/images/Anlagen/Luftkanalreinigung/AdobeStock_148048732.jpeg,68,"Ordner-Segment ""luftkanalreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftkanalreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/Anlagen/lüftungsreinigung/AdobeStock_1721165770.jpeg,68,"Ordner-Segment ""luftungsreinigung"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: anlagen, luftungsreinigung; Anlagen-Bildpool für Leistungsseite",assets/images/rlt hygiene/AdobeStock_1721961150.jpeg,48,"Ordner-Segment ""rlt"" passt zu Seitenthema (lueftung); Schlagwort-Treffer: rlt, hygiene",needs_review,Platzhaltertext auf Seite. Score unter 75 – redaktionell prüfen.
